role,state,average
BI Developer,Utah,107333
BI Developer,Mississippi,106585
BI Developer,Delaware,106520
BI Developer,Virginia,105191
BI Developer,Illinois,104228
BI Developer,Maryland,103212
BI Developer,New Jersey,102260
BI Developer,California,102027
BI Developer,Pennsylvania,101842
BI Developer,Louisiana,101263
BI Developer,Nebraska,101162
BI Developer,Kansas,100310
BI Developer,Missouri,100134
BI Developer,Maine,99827
BI Developer,South Carolina,99188
BI Developer,New Hampshire,98940
BI Developer,Oklahoma,97968
BI Developer,Wyoming,97546
BI Developer,Idaho,97465
BI Developer,North Carolina,97140
BI Developer,Texas,96687
BI Developer,Indiana,96385
BI Developer,Arizona,94392
BI Developer,Kentucky,93841
BI Developer,Michigan,93393
BI Developer,Montana,92970
BI Developer,Alabama,91809
BI Developer,Arkansas,88939
BI Developer,Georgia,85527
BI Developer,West Virginia,78654
BI Developer,Florida,75693
All Jobs,Washington,68635
All Jobs,New York,64138
All Jobs,Idaho,62479
All Jobs,California,61152
All Jobs,New Hampshire,59561
All Jobs,Vermont,58680
All Jobs,Maine,57699
All Jobs,Massachusetts,57502
All Jobs,Hawaii,57386
All Jobs,Nevada,57069
All Jobs,Tennessee,56418
All Jobs,Arizona,56300
All Jobs,Wyoming,56078
All Jobs,Texas,55670
All Jobs,New Jersey,55484
All Jobs,Connecticut,54982
All Jobs,Indiana,54360
All Jobs,Alaska,54350
All Jobs,Rhode Island,54269
All Jobs,Oregon,54180
All Jobs,Minnesota,54139
All Jobs,West Virginia,54050
All Jobs,Montana,53766
All Jobs,North Dakota,52997
All Jobs,Maryland,52970
All Jobs,Pennsylvania,52764
All Jobs,Virginia,51632
All Jobs,Wisconsin,51404
All Jobs,Ohio,51092
All Jobs,South Dakota,50822
All Jobs,Iowa,50347
All Jobs,Colorado,50203
All Jobs,Utah,50173
All Jobs,Kentucky,49935
All Jobs,Delaware,49926
All Jobs,Nebraska,49842
All Jobs,South Carolina,49147
All Jobs,Alabama,49041
All Jobs,New Mexico,48694
All Jobs,Kansas,48078
All Jobs,Oklahoma,47625
All Jobs,Arkansas,47523
All Jobs,Mississippi,47164
All Jobs,Illinois,46859
All Jobs,Michigan,46820
All Jobs,Missouri,46356
All Jobs,Florida,46191
All Jobs,Georgia,45118
All Jobs,Louisiana,43345
All Jobs,North Carolina,41182
All Jobs,US,58563
Data Analyst,US,82640
Data Scientist,US,122738
Data Engineer (Azure),US,129716
BI Developer,US,111882
