Year,Named Storms,Hurricanes,Major Hurricanes,ACE
1999,12,8,5,177
2000,15,8,3,119
2001,15,9,4,110
2002,12,4,2,67
2003,16,7,3,176
2004,15,9,6,227
2005,28,15,7,250
2006,10,5,2,79
2007,15,6,2,74
2008,16,8,5,146
2009,9,3,2,53
2010,19,12,5,165
2011,19,7,4,126
2012,19,10,2,129
2013,14,2,0,36
2014,8,6,2,67
2015,11,4,2,63
2016,15,7,4,141
2017,17,10,6,223
2018,15,8,2,132
2019,18,6,3,132
2020,30,14,7,180
2021,21,7,4,144
2022,14,8,2,93
2023,20,7,3,139
